50k mean,200k mean,50k var,200k var,kernel_size,epochs_choice,learning_rate,activation_fn,Name
0.13242028688775995,0.117657163824141,5.417766154458792e-06,7.884878215469433e-07,3,5,0.001,ReLU,3DCNN_50000_3_ReLU_5_0.001_4
0.14969418013542887,0.13318567394067837,8.323647995487298e-05,2.343325266609662e-05,3,5,0.001,Sigmoid,3DCNN_50000_3_Sigmoid_5_0.001_4
0.1467840359613299,0.12574573710833983,4.3703376805358953e-05,3.853143260677052e-06,3,5,0.0001,ReLU,3DCNN_50000_3_ReLU_5_0.0001_4
0.15613935461466508,0.13484267599557836,8.702028689306116e-05,2.4429522315253663e-05,3,5,0.0001,Sigmoid,3DCNN_50000_3_Sigmoid_5_0.0001_4
0.17090562150701874,0.14653003626540298,1.0341810783231926e-05,2.1219024380640964e-06,3,5,1e-05,ReLU,3DCNN_50000_3_ReLU_5_1e-05_4
0.2454707104921341,0.16779789403602483,1.391107495287681e-06,2.9755980833973213e-05,3,5,1e-05,Sigmoid,3DCNN_50000_3_Sigmoid_5_1e-05_4
0.13228768579885355,0.11475328495949504,6.23004614465828e-06,3.875080196760554e-06,3,10,0.001,ReLU,3DCNN_50000_3_ReLU_10_0.001_4
0.13499556675031776,0.11950346578061577,3.4090412531046627e-06,3.1626639389201183e-07,3,10,0.001,Sigmoid,3DCNN_50000_3_Sigmoid_10_0.001_4
0.13555361720112458,0.11871366992077477,9.614888069195091e-06,1.1945829306571384e-05,3,10,0.0001,ReLU,3DCNN_50000_3_ReLU_10_0.0001_4
0.14410282959851126,0.12449441134892403,2.6139871880407168e-05,1.3425176303290954e-05,3,10,0.0001,Sigmoid,3DCNN_50000_3_Sigmoid_10_0.0001_4
0.16752959005162116,0.13790698020594813,9.921580603193035e-05,1.940890640722687e-05,3,10,1e-05,ReLU,3DCNN_50000_3_ReLU_10_1e-05_4
0.23719029772977032,0.1518101741686463,5.445872215901211e-05,4.508350143437411e-05,3,10,1e-05,Sigmoid,3DCNN_50000_3_Sigmoid_10_1e-05_4
0.12543477273235717,0.12119087115948392,2.334366842497076e-05,5.17446892384389e-05,3,15,0.001,ReLU,3DCNN_50000_3_ReLU_15_0.001_4
0.13818659989014262,0.11537476733066136,0.0001746793548549961,3.349897427204787e-05,3,15,0.001,Sigmoid,3DCNN_50000_3_Sigmoid_15_0.001_4
0.12933603737850982,0.11731766685061153,1.8124549821939027e-05,4.206020928697854e-06,3,15,0.0001,ReLU,3DCNN_50000_3_ReLU_15_0.0001_4
0.14017100840384758,0.12148524262557424,2.6927822881986453e-05,6.01883596359154e-06,3,15,0.0001,Sigmoid,3DCNN_50000_3_Sigmoid_15_0.0001_4
0.15392584914863106,0.12925622361587977,5.527816501640694e-06,8.212805086698159e-07,3,15,1e-05,ReLU,3DCNN_50000_3_ReLU_15_1e-05_4
0.216411964487036,0.14730810940116643,0.001005748487969962,6.054848054533632e-05,3,15,1e-05,Sigmoid,3DCNN_50000_3_Sigmoid_15_1e-05_4
0.13065292863498132,0.11340037901078658,3.4356889897927404e-06,3.429629574215124e-05,3,20,0.001,ReLU,3DCNN_50000_3_ReLU_20_0.001_4
0.12650135197776055,0.11277273314073681,8.76453075520205e-06,5.651505859824789e-06,3,20,0.001,Sigmoid,3DCNN_50000_3_Sigmoid_20_0.001_4
0.12719640666047727,0.11219383085059616,1.6344143085992582e-06,4.6042304983571305e-06,3,20,0.0001,ReLU,3DCNN_50000_3_ReLU_20_0.0001_4
0.146289403704678,0.11960988689747946,0.000394918541587387,3.9268595489988406e-06,3,20,0.0001,Sigmoid,3DCNN_50000_3_Sigmoid_20_0.0001_4
0.1491743411098917,0.13292715458112456,1.2142866730534916e-06,2.3602167863267945e-05,3,20,1e-05,ReLU,3DCNN_50000_3_ReLU_20_1e-05_4
0.19265330523972704,0.13575340939772623,4.695434122564397e-06,3.7276301721035064e-06,3,20,1e-05,Sigmoid,3DCNN_50000_3_Sigmoid_20_1e-05_4
0.12049541967449086,0.11012292045056817,1.0604374059301602e-05,8.290493319271981e-07,3,25,0.001,ReLU,3DCNN_50000_3_ReLU_25_0.001_4
0.12593038682416077,0.11292174744034804,2.222625071919235e-05,9.46868785140533e-06,3,25,0.001,Sigmoid,3DCNN_50000_3_Sigmoid_25_0.001_4
0.12463434952671326,0.11590213624487317,7.102044222688133e-06,9.865371146926505e-05,3,25,0.0001,ReLU,3DCNN_50000_3_ReLU_25_0.0001_4
0.13362191284187133,0.1159953239360203,2.764452855481162e-06,8.227798379409566e-06,3,25,0.0001,Sigmoid,3DCNN_50000_3_Sigmoid_25_0.0001_4
0.1482423790503293,0.12211819090818364,8.806204722207183e-05,1.2903576397952137e-06,3,25,1e-05,ReLU,3DCNN_50000_3_ReLU_25_1e-05_4
0.16416141243676338,0.13202711893655358,4.681603921801411e-06,2.157198549619098e-06,3,25,1e-05,Sigmoid,3DCNN_50000_3_Sigmoid_25_1e-05_4
0.12254089192611468,0.10849272582344706,9.923053993267829e-06,3.479706467646092e-05,3,30,0.001,ReLU,3DCNN_50000_3_ReLU_30_0.001_4
0.1239153356835246,0.11248453524621822,4.7067753249585315e-06,3.836687476443651e-05,3,30,0.001,Sigmoid,3DCNN_50000_3_Sigmoid_30_0.001_4
0.1268578773148357,0.1076714054882526,1.5904019866492317e-05,8.623095989951764e-07,3,30,0.0001,ReLU,3DCNN_50000_3_ReLU_30_0.0001_4
