50k mean,200k mean,50k var,200k var,kernel_size,epochs_choice,learning_rate,activation_fn,Name,A,B,C,D,combo,id
0.1496941801354288,0.1331856739406783,8.323647995487298e-05,2.343325266609662e-05,3,5,0.001,Sigmoid,3DCNN_50000_3_Sigmoid_5_0.001_4,1,2,1,1,1211,1
0.1467840359613299,0.1257457371083398,4.3703376805358953e-05,3.853143260677052e-06,3,5,0.0001,ReLU,3DCNN_50000_3_ReLU_5_0.0001_4,1,1,2,1,1121,2
0.1709056215070187,0.1465300362654029,1.0341810783231926e-05,2.1219024380640964e-06,3,5,1e-05,ReLU,3DCNN_50000_3_ReLU_5_1e-05_4,1,1,3,1,1131,3
0.1322876857988535,0.114753284959495,6.23004614465828e-06,3.875080196760554e-06,3,10,0.001,ReLU,3DCNN_50000_3_ReLU_10_0.001_4,1,1,1,2,1112,4
0.1441028295985112,0.124494411348924,2.6139871880407168e-05,1.3425176303290954e-05,3,10,0.0001,Sigmoid,3DCNN_50000_3_Sigmoid_10_0.0001_4,1,2,2,2,1222,5
0.1675295900516211,0.1379069802059481,9.921580603193036e-05,1.940890640722687e-05,3,10,1e-05,ReLU,3DCNN_50000_3_ReLU_10_1e-05_4,1,1,3,2,1132,6
0.1254347727323571,0.1211908711594839,2.334366842497076e-05,5.17446892384389e-05,3,15,0.001,ReLU,3DCNN_50000_3_ReLU_15_0.001_4,1,1,1,3,1113,7
0.1293360373785098,0.1173176668506115,1.8124549821939027e-05,4.206020928697854e-06,3,15,0.0001,ReLU,3DCNN_50000_3_ReLU_15_0.0001_4,1,1,2,3,1123,8
0.216411964487036,0.1473081094011664,0.0010057484879699,6.054848054533632e-05,3,15,1e-05,Sigmoid,3DCNN_50000_3_Sigmoid_15_1e-05_4,1,2,3,3,1233,9
0.1265013519777605,0.1127727331407368,8.76453075520205e-06,5.651505859824789e-06,3,20,0.001,Sigmoid,3DCNN_50000_3_Sigmoid_20_0.001_4,1,2,1,4,1214,10
0.146289403704678,0.1196098868974794,0.0003949185415873,3.9268595489988406e-06,3,20,0.0001,Sigmoid,3DCNN_50000_3_Sigmoid_20_0.0001_4,1,2,2,4,1224,11
0.1491743411098917,0.1329271545811245,1.2142866730534916e-06,2.3602167863267945e-05,3,20,1e-05,ReLU,3DCNN_50000_3_ReLU_20_1e-05_4,1,1,3,4,1134,12
0.1259303868241607,0.112921747440348,2.222625071919235e-05,9.46868785140533e-06,3,25,0.001,Sigmoid,3DCNN_50000_3_Sigmoid_25_0.001_4,1,2,1,5,1215,13
0.1246343495267132,0.1159021362448731,7.102044222688133e-06,9.865371146926505e-05,3,25,0.0001,ReLU,3DCNN_50000_3_ReLU_25_0.0001_4,1,1,2,5,1125,14
0.1641614124367633,0.1320271189365535,4.681603921801411e-06,2.157198549619098e-06,3,25,1e-05,Sigmoid,3DCNN_50000_3_Sigmoid_25_1e-05_4,1,2,3,5,1235,15
0.1225408919261146,0.108492725823447,9.923053993267829e-06,3.479706467646092e-05,3,30,0.001,ReLU,3DCNN_50000_3_ReLU_30_0.001_4,1,1,1,6,1116,16
0.1413663593911876,0.1164789278802772,7.365441805074068e-05,8.357994631546434e-06,3,30,0.0001,Sigmoid,3DCNN_50000_3_Sigmoid_30_0.0001_4,1,2,2,6,1226,17
0.1573653914549698,0.1289567305886496,8.204236465427227e-06,4.9865725124871326e-05,3,30,1e-05,Sigmoid,3DCNN_50000_3_Sigmoid_30_1e-05_4,1,2,3,6,1236,18
0.1477732070373991,0.1247689333523313,9.80303282539432e-05,1.3205256600298104e-05,5,5,0.001,Sigmoid,3DCNN_50000_5_Sigmoid_5_0.001_4,2,2,1,1,2211,19
