"Name","train_loss","validation_loss","State","Notes","User","Tags","Created","Runtime","Sweep","activation_fn","architecture","batch_size","epochs_choice","input_dim","kernel_size","learning_rate","loss","nblocks","nneighbor","num_class","num_parameters","num_point","training_set","transformer_dim","avg_loss_per_batch","batch loss","cumulative_loss","epoch","r2","time","train_time","validate_time","evaluation time","inference time","inference_time_train","inference_time_train_ms","inference_time_validation_ms","load_time_batch_ms","load_time_train_ms","train_time_batch_ms","validate loss","validate time","validate_time_batch_ms"
"3DCNN_200000_3_ReLU_5_1e-05_4","0.15056424293594434","0.14818154862970115","finished","-","changli_824","","2024-04-16T05:01:01.000Z","5762","","ReLU","3DCNN_64_stride1","4","5","","3","0.00001","","","","","18811","","200000","","","0.14098578691482544","","4","0.48863850560061184","","1105","24","","","","3.370046615600586","1.0311603546142578","7.50012496471405","6.421327590942383","3.7308203170098744","","","1.139264317401442"
"3DCNN_200000_5_Sigmoid_10_0.001_4","0.11607254822771064","0.11434553905539216","finished","-","changli_824","","2024-04-16T04:39:16.000Z","12162","","Sigmoid","3DCNN_64_stride1","4","10","","5","0.001","","","","","85647","","200000","","","0.1927870810031891","","9","0.596838190036084","","1185","28","","","","3.2372474670410156","1.0066032409667969","7.142648434638978","6.706953048706055","3.5968059014024485","","","1.03366135593399"
"3DCNN_200000_3_ReLU_10_0.0001_4","0.117034268211741","0.1219196523912251","finished","-","changli_824","","2024-04-16T04:17:11.000Z","11314","","ReLU","3DCNN_64_stride1","4","10","","3","0.0001","","","","","18811","","200000","","","0.06701727956533432","","9","0.6165992688623401","","1094","24","","","","3.23629379272461","0.9992122650146484","7.159054226875305","6.333589553833008","3.5041267811286256","","","1.017426486953674"
"3DCNN_200000_3_Sigmoid_10_0.001_4","0.11925292215753348","0.11885669608525933","finished","-","changli_824","","2024-04-16T04:11:40.000Z","11912","","Sigmoid","3DCNN_64_stride1","4","10","","3","0.001","","","","","18811","","200000","","","0.0972362607717514","","9","0.577517246517084","","1149","24","","","","4.273176193237305","1.000165939331055","7.705749616622925","7.513046264648437","3.904244307876468","","","1.0589795897763417"
"3DCNN_200000_3_ReLU_20_0.0001_4","0.10865734422598966","0.11462869257256388","finished","-","changli_824","","2024-04-16T03:59:30.000Z","23100","","ReLU","3DCNN_64_stride1","4","20","","3","0.0001","","","","","18811","","200000","","","0.1006382331252098","","19","0.6418220241063073","","1112","24","","","","4.136562347412109","1.0771751403808594","7.460767455101013","7.201433181762695","3.51326162277591","","","1.0607161196360149"
"3DCNN_200000_5_Sigmoid_10_0.0001_4","0.1215065706493333","0.11972352002337576","finished","-","changli_824","","2024-04-16T03:03:12.000Z","12629","","Sigmoid","3DCNN_64_stride1","4","10","","5","0.0001","","","","","85647","","200000","","","0.162027046084404","","9","0.5647533852540354","","1181","28","","","","3.3855438232421875","1.0516643524169922","7.248776178359985","5.973577499389648","3.4955261420860224","","","1.0363523261135363"
"3DCNN_200000_5_Sigmoid_25_0.0001_4","0.10400890919661147","0.10813994773365555","finished","-","changli_824","","2024-04-16T03:01:30.000Z","31696","","Sigmoid","3DCNN_64_stride1","4","25","","5","0.0001","","","","","85647","","200000","","","0.05783769488334656","","24","0.6185393500675059","","1214","28","","","","3.2722949981689453","0.9965896606445312","6.756546621322632","6.394386291503906","3.409564235158433","","","1.0110924042851093"
"3DCNN_200000_3_Sigmoid_25_1e-05_4","0.13035867377111687","0.13316921857073902","finished","-","changli_824","","2024-04-16T02:49:59.000Z","28839","","Sigmoid","3DCNN_64_stride1","4","25","","3","0.00001","","","","","18811","","200000","","","0.0832865834236145","","24","0.49216675633936546","","1070","23","","","","3.33404541015625","0.9894371032714844","6.942721533775329","7.355213165283203","3.3982946005170884","","","1.0703409531987815"
"3DCNN_200000_3_Sigmoid_25_0.001_4","0.10779078830843793","0.10998937048241496","finished","-","changli_824","","2024-04-16T02:22:16.000Z","29035","","Sigmoid","3DCNN_64_stride1","4","25","","3","0.001","","","","","18811","","200000","","","0.08499611914157867","","24","0.5972676010464429","","1124","23","","","","3.650426864624023","2.462148666381836","7.285768399238586","6.103038787841797","3.825918014680512","","","1.048647639263107"
"3DCNN_200000_5_ReLU_30_1e-05_4","0.09590446988428011","0.10237752424888312","finished","-","changli_824","","2024-04-16T02:15:48.000Z","36999","","ReLU","3DCNN_64_stride1","4","30","","5","0.00001","","","","","85647","","200000","","","0.11592280119657516","","29","0.6639524651794784","","1174","26","","","","3.1909942626953125","0.993967056274414","6.824173340797424","7.34710693359375","3.3985941952337","","","1.0081167680671417"
