"Name","train_loss","validation_loss","State","Notes","User","Tags","Created","Runtime","Sweep","activation_fn","architecture","batch_size","epochs_choice","input_dim","kernel_size","learning_rate","loss","nblocks","nneighbor","num_class","num_parameters","num_point","training_set","transformer_dim","avg_loss_per_batch","batch loss","cumulative_loss","epoch","r2","time","train_time","validate_time","evaluation time","inference time","inference_time_train","inference_time_train_ms","inference_time_validation_ms","load_time_batch_ms","load_time_train_ms","train_time_batch_ms","validate loss","validate time","validate_time_batch_ms"
"3DCNN_50000_5_ReLU_15_0.0001_4","0.08004624343112111","0.10063595422916116","finished","-","changli_824","","2024-04-19T02:42:10.000Z","206644","","ReLU","3DCNN_256_stride1_new","4","15","","5","0.0001","","","","","4650239","","50000","","","0.12608128786087036","","14","0.71425539321751","","13215","962","","","","4.153013229370117","1.172780990600586","247.6715231704712","239.98093605041504","5.31627387404919","","","1.2996985730397177"
"3DCNN_50000_5_ReLU_10_0.0001_4","0.08897613365218043","0.10207374793849884","finished","-","changli_824","","2024-04-19T02:42:43.000Z","141982","","ReLU","3DCNN_256_stride1_new","4","10","","5","0.0001","","","","","4650239","","50000","","","0.11754591017961502","","9","0.7048426233897783","","13381","1087","","","","3.837347030639648","1.2314319610595703","275.03316150665285","255.50103187561035","4.693362730039989","","","1.2472182392595283"
"3DCNN_50000_3_ReLU_15_0.0001_4","0.08771823294654489","0.102179079516232","finished","-","changli_824","","2024-04-19T02:42:10.000Z","176055","","ReLU","3DCNN_256_stride1_new","4","15","","3","0.0001","","","","","1008363","","50000","","","0.2305452525615692","","14","0.7024776445062012","","10931","728","","","","3.874540328979492","1.255035400390625","221.9890354347229","231.82392120361328","4.7587557923230674","","","1.2260431266692746"
"3DCNN_50000_3_ReLU_15_0.001_4","0.10169220042571424","0.104018822016567","finished","-","changli_824","","2024-04-19T02:42:10.000Z","172729","","ReLU","3DCNN_256_stride1_new","4","15","","3","0.001","","","","","1008363","","50000","","","0.05180515721440315","","14","0.6952373759755672","","10865","889","","","","4.382848739624023","1.1806488037109375","223.8126270675659","218.82295608520508","4.349693076146709","","","2.007148926516613"
"3DCNN_50000_5_ReLU_15_1e-05_4","0.08523074103359134","0.10708231480494142","finished","-","changli_824","","2024-04-19T02:42:10.000Z","204137","","ReLU","3DCNN_256_stride1_new","4","15","","5","0.00001","","","","","4650239","","50000","","","0.1071995422244072","","14","0.6749570556565512","","13238","950","","","","3.699779510498047","1.1911392211914062","239.3500680923462","250.6728172302246","5.060209838555659","","","1.2155974246411916"
"3DCNN_50000_3_ReLU_10_0.001_4","0.1110035458468646","0.10846967041008176","finished","-","changli_824","","2024-04-19T02:42:41.000Z","112846","","ReLU","3DCNN_256_stride1_new","4","10","","3","0.001","","","","","1008363","","50000","","","0.060644976794719696","","9","0.6734170976665468","","10465","790","","","","4.049777984619141","1.2154579162597656","194.36010528564455","181.7333698272705","4.383331150699368","","","1.4092997853535725"
"3DCNN_50000_3_ReLU_10_0.0001_4","0.09954041616804898","0.110962577181682","finished","-","changli_824","","2024-04-19T02:42:41.000Z","112916","","ReLU","3DCNN_256_stride1_new","4","10","","3","0.0001","","","","","1008363","","50000","","","0.056493185460567474","","9","0.6806218950805537","","10478","760","","","","4.165887832641602","1.2664794921875","193.62355920791623","228.23476791381836","4.37091509755656","","","1.4977098947548004"
"3DCNN_50000_5_ReLU_10_1e-05_4","0.0980274798001349","0.11141984658539296","finished","-","changli_824","","2024-04-19T02:42:43.000Z","135052","","ReLU","3DCNN_256_stride1_new","4","10","","5","0.00001","","","","","4650239","","50000","","","0.015356449410319328","","9","0.6670730086058874","","12715","939","","","","4.707813262939453","1.2607574462890625","210.4342601585388","191.6775703430176","5.010891876953711","","","1.349126287253506"
"3DCNN_50000_5_ReLU_5_0.0001_4","0.11060832470208408","0.11369049252830446","finished","-","changli_824","","2024-04-19T23:44:54.000Z","67919","","ReLU","3DCNN_256_stride1_new","4","5","","5","0.0001","","","","","4650239","","50000","","","0.17772749066352844","","4","0.6556319886982824","","12613","807","","","","3.7641525268554688","1.188516616821289","214.49631818771363","199.6138095855713","4.809265026003958","","","1.4981035247864014"
"3DCNN_50000_5_ReLU_15_0.001_4","0.095787636000067","0.11931952789500357","finished","-","changli_824","","2024-04-19T02:42:10.000Z","206075","","ReLU","3DCNN_256_stride1_new","4","15","","5","0.001","","","","","4650239","","50000","","","0.17014361917972565","","14","0.669513287750082","","13185","814","","","","4.274845123291016","1.4643669128417969","243.72399477005004","256.6061019897461","4.926093413029984","","","2.050622783032766"
